背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,year
2,田中　広輔,.290,143,679,565,164,8,60,35,89,15,120,6,5,.398,.407,.805,6.41,6.26,広島,2017
9,丸　佳浩,.308,143,651,556,171,23,92,13,83,4,113,2,6,.398,.505,.903,7.70,7.52,広島,2017
33,菊池　涼介,.271,138,629,565,153,14,56,8,32,1,107,30,9,.311,.405,.716,4.10,4.01,広島,2017
51,鈴木　誠也,.300,115,512,437,131,26,90,16,62,6,80,0,12,.389,.547,.936,7.44,7.40,広島,2017
60,安部　友裕,.310,123,455,413,128,4,49,17,27,2,94,12,3,.354,.400,.754,5.38,5.14,広島,2017
55,エルドレッド,.265,116,405,344,91,27,78,0,50,8,111,0,8,.368,.532,.900,6.80,6.90,広島,2017
44,松山　竜平,.326,120,387,350,114,14,77,0,31,0,45,0,8,.375,.534,.909,7.26,7.08,広島,2017
27,會澤　翼,.275,106,329,287,79,6,35,0,22,7,45,10,12,.339,.390,.729,4.23,4.19,広島,2017
25,新井　貴浩,.292,100,288,243,71,9,48,2,40,1,56,0,7,.389,.461,.850,6.55,6.54,広島,2017
63,西川　龍馬,.275,95,220,204,56,5,27,4,10,1,35,3,4,.309,.417,.725,4.46,4.43,広島,2017
31,石原　慶幸,.204,77,167,147,30,1,12,1,10,0,33,8,8,.252,.252,.503,1.36,1.54,広島,2017
95,バティスタ,.256,61,143,125,32,11,26,0,15,1,44,0,3,.336,.560,.896,6.33,6.55,広島,2017
37,野間　峻祥,.189,98,85,74,14,0,2,10,7,0,13,4,1,.259,.203,.462,1.40,1.58,広島,2017
4,小窪　哲也,.175,26,65,57,10,0,8,1,6,0,13,2,3,.254,.211,.464,1.11,1.25,広島,2017
7,堂林　翔太,.217,44,54,46,10,1,11,0,5,0,13,0,0,.278,.304,.582,3.12,3.90,広島,2017
10,岩本　貴裕,.375,33,50,48,18,1,13,0,1,0,15,1,2,.388,.521,.909,6.86,6.25,広島,2017
49,天谷　宗一郎,.189,56,45,37,7,0,2,1,3,1,17,4,0,.268,.216,.485,1.97,2.05,広島,2017
5,ペーニャ,.216,22,39,37,8,0,2,0,2,0,10,0,0,.256,.243,.500,2.01,2.06,広島,2017
40,磯村　嘉孝,.235,21,39,34,8,2,3,0,3,1,8,1,1,.316,.471,.786,4.75,4.77,広島,2017
0,上本　崇司,.125,37,10,8,1,0,0,3,2,0,3,0,0,.300,.125,.425,3.88,4.13,広島,2017
35,下水流　昂,.111,9,9,9,1,0,0,0,0,0,2,0,0,.111,.222,.333,-0.09,-0.07,広島,2017
52,庄司　隼人,.333,6,6,3,1,0,0,0,1,0,1,2,0,.500,.333,.833,5.14,4.93,広島,2017
32,白濱　裕太,.400,3,5,5,2,0,0,1,0,0,2,0,0,.400,.600,1.000,11.52,9.99,広島,2017
61,坂倉　将吾,.250,3,4,4,1,0,2,0,0,0,0,0,0,.250,.250,.500,2.05,2.07,広島,2017
43,土生　翔平,.000,5,2,1,0,0,0,0,0,0,0,1,0,.000,.000,.000,-0.79,-0.68,広島,2017
6,梵　英心,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
38,赤松　真人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
45,桒原　樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
50,髙橋　大樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
54,船越　涼太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
59,美間　優槻,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
64,多田　大輔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
68,中村　亘佑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
69,青木　陸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,広島,2017
1,鳥谷　敬,.293,143,570,488,143,4,41,8,77,2,62,1,13,.390,.377,.767,5.46,5.29,阪神,2017
8,福留　孝介,.263,127,526,441,116,18,79,1,77,3,92,1,17,.373,.444,.818,5.61,5.63,阪神,2017
7,糸井　嘉男,.290,114,493,427,124,17,62,21,59,5,62,0,12,.381,.447,.829,6.23,6.16,阪神,2017
00,上本　博紀,.284,125,488,409,116,9,38,16,50,4,71,23,7,.366,.403,.769,5.47,5.34,阪神,2017
60,中谷　将大,.241,133,455,411,99,20,61,2,36,5,96,0,5,.308,.443,.751,4.78,4.85,阪神,2017
9,髙山　俊,.250,103,353,328,82,6,24,6,21,3,77,0,3,.300,.369,.669,3.90,3.88,阪神,2017
