背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,team,year
19,野村　祐輔,2.78,25,9,5,0,0,.643,645,155.1,152,12,38,4,106,53,48,1.22,3.57,広島,2017
14,大瀬良　大地,3.65,24,10,2,0,0,.833,617,145.2,143,12,43,1,109,68,59,1.28,3.60,広島,2017
17,岡田　明丈,4.00,24,12,5,0,0,.706,604,141.2,134,9,63,4,109,68,63,1.39,3.83,広島,2017
23,薮田　和樹,2.58,38,15,3,0,3,.833,536,129.0,102,10,51,4,115,42,37,1.19,3.62,広島,2017
12,九里　亜蓮,3.64,35,9,5,0,2,.643,494,116.1,111,7,44,4,97,51,47,1.33,3.47,広島,2017
42,ジョンソン,4.01,13,6,3,0,0,.667,328,76.1,79,4,25,2,53,40,34,1.36,3.47,広島,2017
67,中村　祐太,3.74,15,5,4,0,0,.556,312,74.2,68,7,26,2,54,33,31,1.26,4.02,広島,2017
16,今村　猛,2.38,68,3,5,23,17,.375,270,64.1,53,6,27,0,69,19,17,1.24,3.45,広島,2017
58,ジャクソン,2.03,60,2,2,1,30,.500,243,62.0,43,5,19,1,55,16,14,1.00,3.36,広島,2017
30,一岡　竜司,1.85,59,6,2,1,19,.750,234,58.1,42,1,20,0,58,14,12,1.06,2.38,広島,2017
21,中﨑　翔太,1.40,59,4,1,10,25,.800,218,57.2,33,2,20,0,36,9,9,0.92,3.36,広島,2017
26,中田　廉,2.70,53,2,4,0,13,.333,196,46.2,37,4,20,1,50,15,14,1.22,3.25,広島,2017
70,ブレイシア,3.00,26,2,1,1,2,.667,132,30.0,32,3,8,0,19,13,10,1.33,3.95,広島,2017
13,加藤　拓也,4.30,7,1,3,0,0,.250,136,29.1,20,2,31,1,28,14,14,1.74,5.37,広島,2017
11,福井　優也,7.16,5,1,3,0,0,.250,131,27.2,36,1,12,2,15,24,22,1.73,4.02,広島,2017
28,床田　寛樹,5.19,3,1,1,0,0,.500,71,17.1,16,2,3,0,16,10,10,1.10,3.29,広島,2017
66,ヘーゲンズ,6.60,11,0,0,0,0,.000,73,15.0,24,1,7,0,10,12,11,2.07,4.05,広島,2017
46,高橋　樹也,6.43,10,0,2,0,0,.000,67,14.0,18,1,6,0,9,15,10,1.71,4.05,広島,2017
53,戸田　隆矢,11.05,3,0,0,0,1,.000,34,7.1,10,1,1,0,7,9,9,1.50,3.39,広島,2017
39,飯田　哲矢,10.29,8,0,0,0,1,.000,41,7.0,15,0,5,0,8,8,8,2.86,2.98,広島,2017
98,佐藤　祥万,4.05,6,0,0,0,0,.000,30,6.2,6,1,5,0,6,3,3,1.65,5.52,広島,2017
62,今井　啓介,5.40,4,0,0,0,0,.000,23,5.0,7,1,2,0,5,3,3,1.80,4.92,広島,2017
41,藤井　皓哉,0.00,2,0,0,0,1,.000,5,1.2,0,0,0,0,1,0,0,0.00,1.92,広島,2017
57,オスカル,5.40,2,0,0,0,0,.000,6,1.2,1,0,0,0,0,1,1,0.60,3.12,広島,2017
20,永川　勝浩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
22,中村　恭平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
24,横山　弘樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
29,江草　仁貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
34,高橋　昂也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
36,塹江　敦哉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
47,小野　淳平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
48,アドゥワ　誠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
56,辻　空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
65,長井　良太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,広島,2017
46,秋山　拓巳,2.99,25,12,6,0,0,.667,638,159.1,158,15,16,6,123,56,53,1.09,3.21,阪神,2017
54,メッセンジャー,2.39,22,11,5,0,0,.688,594,143.0,134,5,44,1,155,42,38,1.24,2.35,阪神,2017
14,能見　篤史,3.72,23,6,6,0,0,.500,533,128.1,117,14,40,2,119,57,53,1.22,3.67,阪神,2017
17,岩貞　祐太,4.96,18,5,10,0,0,.333,428,98.0,93,14,44,4,93,56,54,1.40,4.55,阪神,2017
28,小野　泰己,4.35,15,2,7,0,0,.222,343,78.2,78,6,40,5,63,38,38,1.50,4.23,阪神,2017
67,岩崎　優,2.39,66,4,1,0,15,.800,311,71.2,63,2,27,5,88,28,19,1.26,2.32,阪神,2017
64,桑原　謙太朗,1.51,67,4,2,0,39,.667,261,65.2,52,2,10,3,63,11,11,0.94,2.19,阪神,2017
50,青柳　晃洋,3.22,12,4,4,0,0,.500,282,64.1,53,2,28,10,50,32,23,1.26,3.74,阪神,2017
98,ドリス,2.71,63,4,4,37,5,.500,259,63.0,53,1,17,1,85,22,19,1.11,1.44,阪神,2017
