No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
0,上本　崇司,内野手,1990/08/22,27歳,5年,170cm,71kg,A型,右両,広島,700万円,広島,2017
2,田中　広輔,内野手,1989/07/03,28歳,4年,171cm,85kg,A型,右左,神奈川,"7,800万円",広島,2017
4,小窪　哲也,内野手,1985/04/12,32歳,10年,175cm,83kg,O型,右右,奈良,"4,000万円",広島,2017
5,ペーニャ,内野手,1985/07/18,32歳,1年,180cm,91kg,不明,右両,メキシコ,"7,340万円",広島,2017
6,梵　英心,内野手,1980/10/11,37歳,12年,173cm,76kg,B型,右右,広島,"4,000万円",広島,2017
7,堂林　翔太,内野手,1991/08/17,26歳,8年,183cm,88kg,A型,右右,愛知,"1,650万円",広島,2017
9,丸　佳浩,外野手,1989/04/11,28歳,10年,177cm,90kg,AB型,右左,千葉,"14,000万円",広島,2017
10,岩本　貴裕,外野手,1986/04/18,31歳,9年,182cm,96kg,A型,左左,広島,"1,200万円",広島,2017
11,福井　優也,投手,1988/02/08,29歳,7年,178cm,85kg,A型,右右,岡山,"4,100万円",広島,2017
12,九里　亜蓮,投手,1991/09/01,26歳,4年,187cm,92kg,A型,右右,鳥取,"2,200万円",広島,2017
13,加藤　拓也,投手,1994/12/31,23歳,1年,176cm,88kg,O型,右右,東京,"1,500万円",広島,2017
14,大瀬良　大地,投手,1991/06/17,26歳,4年,187cm,93kg,AB型,右右,長崎,"4,500万円",広島,2017
16,今村　猛,投手,1991/04/17,26歳,8年,183cm,98kg,B型,右右,長崎,"6,100万円",広島,2017
17,岡田　明丈,投手,1993/10/18,24歳,2年,185cm,90kg,AB型,右左,東京,"2,520万円",広島,2017
19,野村　祐輔,投手,1989/06/24,28歳,6年,177cm,82kg,AB型,右右,岡山,"10,000万円",広島,2017
20,永川　勝浩,投手,1980/12/14,37歳,15年,188cm,98kg,O型,右右,広島,"3,700万円",広島,2017
21,中﨑　翔太,投手,1992/08/10,25歳,7年,186cm,100kg,B型,右右,鹿児島,"8,500万円",広島,2017
22,中村　恭平,投手,1989/03/22,28歳,7年,185cm,82kg,O型,左左,福岡,900万円,広島,2017
23,薮田　和樹,投手,1992/08/07,25歳,3年,188cm,84kg,B型,右右,広島,"1,400万円",広島,2017
24,横山　弘樹,投手,1992/03/12,25歳,2年,187cm,86kg,O型,右左,宮崎,"1,250万円",広島,2017
25,新井　貴浩,内野手,1977/01/30,40歳,19年,189cm,102kg,B型,右右,広島,"11,000万円",広島,2017
26,中田　廉,投手,1990/07/21,27歳,9年,189cm,91kg,AB型,右右,大阪,"2,000万円",広島,2017
27,會澤　翼,捕手,1988/04/13,29歳,11年,177cm,91kg,B型,右右,茨城,"2,800万円",広島,2017
28,床田　寛樹,投手,1995/03/01,22歳,1年,181cm,76kg,A型,左左,兵庫,700万円,広島,2017
29,江草　仁貴,投手,1980/09/03,37歳,15年,178cm,83kg,A型,左左,広島,"1,600万円",広島,2017
30,一岡　竜司,投手,1991/01/11,26歳,6年,179cm,82kg,O型,右右,福岡,"2,800万円",広島,2017
31,石原　慶幸,捕手,1979/09/07,38歳,16年,177cm,90kg,A型,右右,岐阜,"12,000万円",広島,2017
32,白濱　裕太,捕手,1985/10/31,32歳,14年,180cm,92kg,A型,右右,大阪,700万円,広島,2017
33,菊池　涼介,内野手,1990/03/11,27歳,6年,171cm,72kg,A型,右右,東京,"14,500万円",広島,2017
34,高橋　昂也,投手,1998/09/27,19歳,1年,181cm,87kg,A型,左左,埼玉,600万円,広島,2017
35,下水流　昂,外野手,1988/04/23,29歳,5年,178cm,91kg,A型,右右,神奈川,"1,200万円",広島,2017
36,塹江　敦哉,投手,1997/02/21,20歳,3年,178cm,78kg,A型,左左,香川,650万円,広島,2017
37,野間　峻祥,外野手,1993/01/28,24歳,3年,180cm,83kg,B型,右左,兵庫,"1,400万円",広島,2017
38,赤松　真人,外野手,1982/09/06,35歳,13年,182cm,75kg,O型,右右,京都,"3,600万円",広島,2017
39,飯田　哲矢,投手,1991/03/28,26歳,3年,182cm,80kg,A型,左左,神奈川,980万円,広島,2017
40,磯村　嘉孝,捕手,1992/11/01,25歳,7年,178cm,89kg,A型,右右,愛知,770万円,広島,2017
41,藤井　皓哉,投手,1996/07/29,21歳,3年,181cm,83kg,AB型,右左,岡山,500万円,広島,2017
42,ジョンソン,投手,1984/10/14,33歳,3年,193cm,93kg,不明,左左,アメリカ,"31,000万円",広島,2017
43,土生　翔平,外野手,1989/08/16,28歳,6年,180cm,87kg,O型,右左,広島,600万円,広島,2017
44,松山　竜平,外野手,1985/09/18,32歳,10年,176cm,98kg,B型,右左,鹿児島,"4,000万円",広島,2017
45,桒原　樹,内野手,1996/07/04,21歳,3年,180cm,74kg,O型,右左,静岡,500万円,広島,2017
46,高橋　樹也,投手,1997/06/21,20歳,2年,176cm,75kg,A型,左左,岩手,500万円,広島,2017
47,小野　淳平,投手,1987/04/05,30歳,8年,178cm,82kg,B型,右右,大分,"1,200万円",広島,2017
48,アドゥワ　誠,投手,1998/10/02,19歳,1年,196cm,83kg,O型,右右,熊本,480万円,広島,2017
49,天谷　宗一郎,外野手,1983/11/08,34歳,16年,178cm,87kg,O型,左左,福井,"2,400万円",広島,2017
50,髙橋　大樹,外野手,1994/05/11,23歳,5年,181cm,85kg,O型,右右,大阪,550万円,広島,2017
51,鈴木　誠也,外野手,1994/08/18,23歳,5年,181cm,90kg,A型,右右,東京,"6,000万円",広島,2017
52,庄司　隼人,内野手,1991/06/21,26歳,8年,175cm,76kg,A型,右左,静岡,580万円,広島,2017
53,戸田　隆矢,投手,1993/06/10,24歳,6年,181cm,76kg,A型,左左,兵庫,"2,300万円",広島,2017
54,船越　涼太,捕手,1993/11/26,24歳,2年,178cm,83kg,O型,右右,千葉,800万円,広島,2017
55,エルドレッド,内野手,1980/07/12,37歳,6年,196cm,122kg,不明,右右,アメリカ,"11,000万円",広島,2017
56,辻　空,投手,1994/04/24,23歳,5年,184cm,84kg,O型,右右,岐阜,430万円,広島,2017
57,オスカル,投手,1991/03/28,26歳,2年,178cm,78kg,O型,左左,ブラジル,"1,100万円",広島,2017
58,ジャクソン,投手,1987/10/27,30歳,2年,185cm,88kg,不明,右右,アメリカ,"9,600万円",広島,2017
