チーム,試合,勝利,敗北,引分,得点,失点,リーグ,年
福岡ソフトバンクホークス,120,73,42,5,531,389,パ・リーグ,2020
千葉ロッテマリーンズ,120,60,57,3,461,479,パ・リーグ,2020
埼玉西武ライオンズ,120,58,58,4,479,543,パ・リーグ,2020
東北楽天ゴールデンイーグルス,120,55,57,8,557,522,パ・リーグ,2020
北海道日本ハムファイターズ,120,53,62,5,493,528,パ・リーグ,2020
オリックス・バファローズ,120,45,68,7,442,502,パ・リーグ,2020
読売ジャイアンツ,120,67,45,8,532,421,セ・リーグ,2020
阪神タイガース,120,60,53,7,494,460,セ・リーグ,2020
中日ドラゴンズ,120,60,55,5,429,489,セ・リーグ,2020
横浜DeNAベイスターズ,120,56,58,6,516,474,セ・リーグ,2020
広島東洋カープ,120,52,56,12,523,529,セ・リーグ,2020
東京ヤクルトスワローズ,120,41,69,10,468,589,セ・リーグ,2020
埼玉西武ライオンズ,143,80,62,1,756,695,パ・リーグ,2019
福岡ソフトバンクホークス,143,76,62,5,582,564,パ・リーグ,2019
東北楽天ゴールデンイーグルス,143,71,68,4,614,578,パ・リーグ,2019
千葉ロッテマリーンズ,143,69,70,4,642,611,パ・リーグ,2019
北海道日本ハムファイターズ,143,65,73,5,560,586,パ・リーグ,2019
オリックス・バファローズ,143,61,75,7,544,637,パ・リーグ,2019
読売ジャイアンツ,143,77,64,2,663,573,セ・リーグ,2019
横浜DeNAベイスターズ,143,71,69,3,596,611,セ・リーグ,2019
阪神タイガース,143,69,68,6,538,566,セ・リーグ,2019
広島東洋カープ,143,70,70,3,591,601,セ・リーグ,2019
中日ドラゴンズ,143,68,73,2,563,544,セ・リーグ,2019
東京ヤクルトスワローズ,143,59,82,2,656,739,セ・リーグ,2019
埼玉西武ライオンズ,143,88,53,2,792,653,パ・リーグ,2018
福岡ソフトバンクホークス,143,82,60,1,685,579,パ・リーグ,2018
北海道日本ハムファイターズ,143,74,66,3,589,586,パ・リーグ,2018
オリックス・バファローズ,143,65,73,5,538,565,パ・リーグ,2018
千葉ロッテマリーンズ,143,59,81,3,534,628,パ・リーグ,2018
東北楽天ゴールデンイーグルス,143,58,82,3,520,583,パ・リーグ,2018
広島東洋カープ,143,82,59,2,721,651,セ・リーグ,2018
東京ヤクルトスワローズ,143,75,66,2,658,665,セ・リーグ,2018
読売ジャイアンツ,143,67,71,5,625,575,セ・リーグ,2018
横浜DeNAベイスターズ,143,67,74,2,572,642,セ・リーグ,2018
中日ドラゴンズ,143,63,78,2,598,654,セ・リーグ,2018
阪神タイガース,143,62,79,2,577,628,セ・リーグ,2018
福岡ソフトバンクホークス,143,94,49,0,638,483,パ・リーグ,2017
埼玉西武ライオンズ,143,79,61,3,690,560,パ・リーグ,2017
東北楽天ゴールデンイーグルス,143,77,63,3,585,528,パ・リーグ,2017
オリックス・バファローズ,143,63,79,1,539,598,パ・リーグ,2017
北海道日本ハムファイターズ,143,60,83,0,509,596,パ・リーグ,2017
千葉ロッテマリーンズ,143,54,87,2,479,647,パ・リーグ,2017
広島東洋カープ,143,88,51,4,736,540,セ・リーグ,2017
阪神タイガース,143,78,61,4,589,528,セ・リーグ,2017
横浜DeNAベイスターズ,143,73,65,5,597,598,セ・リーグ,2017
読売ジャイアンツ,143,72,68,3,536,504,セ・リーグ,2017
中日ドラゴンズ,143,59,79,5,487,623,セ・リーグ,2017
東京ヤクルトスワローズ,143,45,96,2,473,653,セ・リーグ,2017
北海道日本ハムファイターズ,143,87,53,3,619,467,パ・リーグ,2016
福岡ソフトバンクホークス,143,83,54,6,637,479,パ・リーグ,2016
千葉ロッテマリーンズ,143,72,68,3,583,582,パ・リーグ,2016
埼玉西武ライオンズ,143,64,76,3,619,618,パ・リーグ,2016
東北楽天ゴールデンイーグルス,143,62,78,3,544,654,パ・リーグ,2016
オリックス・バファローズ,143,57,83,3,499,635,パ・リーグ,2016
広島東洋カープ,143,89,52,2,684,497,セ・リーグ,2016
読売ジャイアンツ,143,71,69,3,519,543,セ・リーグ,2016
横浜DeNAベイスターズ,143,69,71,3,572,588,セ・リーグ,2016
阪神タイガース,143,64,76,3,506,546,セ・リーグ,2016
東京ヤクルトスワローズ,143,64,78,1,594,694,セ・リーグ,2016
中日ドラゴンズ,143,58,82,3,500,573,セ・リーグ,2016
福岡ソフトバンクホークス,143,90,49,4,651,491,パ・リーグ,2015
北海道日本ハムファイターズ,143,79,62,2,615,581,パ・リーグ,2015
