Date,Tournament,Series,Surface,Round,Winner,Loser,Winner_Rank,Loser_Rank
2017-01-04,BrisbaneInternational,ATP250,Hard,1stRound,ThompsonJ.,YmerE.,79,160
2017-01-04,BrisbaneInternational,ATP250,Hard,1stRound,MahutN.,RobertS.,39,54
2017-01-04,BrisbaneInternational,ATP250,Hard,1stRound,FerrerD.,TomicB.,21,26
2017-01-04,BrisbaneInternational,ATP250,Hard,1stRound,EdmundK.,EscobedoE.,45,141
2017-01-04,BrisbaneInternational,ATP250,Hard,1stRound,DimitrovG.,JohnsonS.,17,33
2017-01-05,BrisbaneInternational,ATP250,Hard,1stRound,DonaldsonJ.,MullerG.,105,34
2017-01-05,BrisbaneInternational,ATP250,Hard,1stRound,GrothS.,HerbertP.H.,180,78
2017-01-05,BrisbaneInternational,ATP250,Hard,1stRound,PouilleL.,SimonG.,15,25
2017-01-05,BrisbaneInternational,ATP250,Hard,1stRound,TroickiV.,NishiokaY.,29,100
2017-01-05,BrisbaneInternational,ATP250,Hard,1stRound,SchwartzmanD.,QuerreyS.,52,31
2017-01-05,BrisbaneInternational,ATP250,Hard,1stRound,ZverevM.,DeMinaurA.,51,351
2017-01-05,BrisbaneInternational,ATP250,Hard,1stRound,NadalR.,DolgopolovO.,9,62
2017-01-06,BrisbaneInternational,ATP250,Hard,2ndRound,NishikoriK.,DonaldsonJ.,5,105
2017-01-06,BrisbaneInternational,ATP250,Hard,2ndRound,ThompsonJ.,FerrerD.,79,21
2017-01-06,BrisbaneInternational,ATP250,Hard,2ndRound,EdmundK.,PouilleL.,45,15
2017-01-06,BrisbaneInternational,ATP250,Hard,2ndRound,WawrinkaS.,TroickiV.,4,29
2017-01-07,BrisbaneInternational,ATP250,Hard,2ndRound,DimitrovG.,MahutN.,17,39
2017-01-07,BrisbaneInternational,ATP250,Hard,2ndRound,ThiemD.,GrothS.,8,180
2017-01-07,BrisbaneInternational,ATP250,Hard,2ndRound,RaonicM.,SchwartzmanD.,3,52
2017-01-07,BrisbaneInternational,ATP250,Hard,2ndRound,NadalR.,ZverevM.,9,51
2017-01-08,BrisbaneInternational,ATP250,Hard,Quarterfinals,WawrinkaS.,EdmundK.,4,45
2017-01-08,BrisbaneInternational,ATP250,Hard,Quarterfinals,NishikoriK.,ThompsonJ.,5,79
2017-01-08,BrisbaneInternational,ATP250,Hard,Quarterfinals,DimitrovG.,ThiemD.,17,8
2017-01-08,BrisbaneInternational,ATP250,Hard,Quarterfinals,RaonicM.,NadalR.,3,9
2017-01-09,BrisbaneInternational,ATP250,Hard,Semifinals,NishikoriK.,WawrinkaS.,5,4
2017-01-09,BrisbaneInternational,ATP250,Hard,Semifinals,DimitrovG.,RaonicM.,17,3
2017-01-10,BrisbaneInternational,ATP250,Hard,TheFinal,DimitrovG.,NishikoriK.,17,5
2017-01-04,ChennaiOpen,ATP250,Hard,1stRound,DarcisS.,MekticN.,86,331
2017-01-04,ChennaiOpen,ATP250,Hard,1stRound,SelaD.,DzumhurD.,96,77
2017-01-04,ChennaiOpen,ATP250,Hard,1stRound,MedvedevD.,MonteiroT.,99,82
2017-01-04,ChennaiOpen,ATP250,Hard,1stRound,KovalikJ.,EliasG.,117,81
2017-01-04,ChennaiOpen,ATP250,Hard,1stRound,ChungH.,CoricB.,104,48
2017-01-05,ChennaiOpen,ATP250,Hard,1stRound,OlivoR.,RuudC.,83,225
2017-01-05,ChennaiOpen,ATP250,Hard,1stRound,BedeneA.,GarciaLopezG.,101,70
2017-01-05,ChennaiOpen,ATP250,Hard,1stRound,LuY.H.,AlbotR.,64,97
2017-01-05,ChennaiOpen,ATP250,Hard,1stRound,PaireB.,KravchukK.,47,85
2017-01-05,ChennaiOpen,ATP250,Hard,1stRound,BhambriY.,RamanathanR.,474,227
2017-01-05,ChennaiOpen,ATP250,Hard,1stRound,DutraSilvaR.,LajovicD.,440,93
2017-01-05,ChennaiOpen,ATP250,Hard,1stRound,YouzhnyM.,MyneniS.,57,192
2017-01-06,ChennaiOpen,ATP250,Hard,2ndRound,MedvedevD.,LuY.H.,99,64
2017-01-06,ChennaiOpen,ATP250,Hard,2ndRound,RamosVinolasA.,DarcisS.,27,86
2017-01-06,ChennaiOpen,ATP250,Hard,2ndRound,KovalikJ.,CilicM.,117,6
2017-01-06,ChennaiOpen,ATP250,Hard,2ndRound,SelaD.,ChungH.,96,104
2017-01-07,ChennaiOpen,ATP250,Hard,2ndRound,YouzhnyM.,OlivoR.,57,83
2017-01-07,ChennaiOpen,ATP250,Hard,2ndRound,BautistaAgutR.,DutraSilvaR.,14,440
2017-01-07,ChennaiOpen,ATP250,Hard,2ndRound,PaireB.,BhambriY.,47,474
2017-01-07,ChennaiOpen,ATP250,Hard,2ndRound,BedeneA.,KlizanM.,101,35
2017-01-08,ChennaiOpen,ATP250,Hard,Quarterfinals,MedvedevD.,KovalikJ.,99,117
2017-01-08,ChennaiOpen,ATP250,Hard,Quarterfinals,SelaD.,RamosVinolasA.,96,27
2017-01-08,ChennaiOpen,ATP250,Hard,Quarterfinals,PaireB.,BedeneA.,47,101
2017-01-08,ChennaiOpen,ATP250,Hard,Quarterfinals,BautistaAgutR.,YouzhnyM.,14,57
2017-01-09,ChennaiOpen,ATP250,Hard,Semifinals,MedvedevD.,SelaD.,99,96
2017-01-09,ChennaiOpen,ATP250,Hard,Semifinals,BautistaAgutR.,PaireB.,14,47
2017-01-10,ChennaiOpen,ATP250,Hard,TheFinal,BautistaAgutR.,MedvedevD.,14,99
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,BrownD.,BagnisF.,72,56
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,VeselyJ.,YukselA.,55,507
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,AlmagroN.,LorenziP.,44,40
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,DjokovicN.,StruffJ.L.,2,63
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,ZeballosH.,MayerF.,71,50
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,GoffinD.,HaaseR.,11,59
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,StepanekR.,BaghdatisM.,107,36
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,DeGreefA.,SafwatM.,134,199
2017-01-04,QatarExxonMobilOpen,ATP250,Hard,1stRound,VerdascoF.,PospisilV.,42,133
2017-01-05,QatarExxonMobilOpen,ATP250,Hard,1stRound,KhachanovK.,ZayidM.S.,53,1277
2017-01-05,QatarExxonMobilOpen,ATP250,Hard,1stRound,KohlschreiberP.,JaziriM.,32,58
2017-01-05,QatarExxonMobilOpen,ATP250,Hard,1stRound,MelzerG.,MathieuP.H.,68,73
2017-01-05,QatarExxonMobilOpen,ATP250,Hard,1stRound,TsongaJ.W.,KuznetsovAn.,12,46
2017-01-05,QatarExxonMobilOpen,ATP250,Hard,1stRound,KarlovicI.,MarchenkoI.,20,74
2017-01-05,QatarExxonMobilOpen,ATP250,Hard,1stRound,MurrayA.,ChardyJ.,1,69
2017-01-05,QatarExxonMobilOpen,ATP250,Hard,1stRound,BerdychT.,GiannessiA.,10,128
2017-01-06,QatarExxonMobilOpen,ATP250,Hard,2ndRound,AlmagroN.,KohlschreiberP.,44,32
2017-01-06,QatarExxonMobilOpen,ATP250,Hard,2ndRound,VerdascoF.,GoffinD.,42,11
2017-01-06,QatarExxonMobilOpen,ATP250,Hard,2ndRound,StepanekR.,DeGreefA.,107,134
2017-01-06,QatarExxonMobilOpen,ATP250,Hard,2ndRound,BerdychT.,VeselyJ.,10,55
2017-01-06,QatarExxonMobilOpen,ATP250,Hard,2ndRound,DjokovicN.,ZeballosH.,2,71
2017-01-06,QatarExxonMobilOpen,ATP250,Hard,2ndRound,MurrayA.,MelzerG.,1,68
2017-01-06,QatarExxonMobilOpen,ATP250,Hard,2ndRound,KarlovicI.,KhachanovK.,20,53
2017-01-06,QatarExxonMobilOpen,ATP250,Hard,2ndRound,TsongaJ.W.,BrownD.,12,72
2017-01-07,QatarExxonMobilOpen,ATP250,Hard,Quarterfinals,VerdascoF.,KarlovicI.,42,20
2017-01-07,QatarExxonMobilOpen,ATP250,Hard,Quarterfinals,DjokovicN.,StepanekR.,2,107
2017-01-07,QatarExxonMobilOpen,ATP250,Hard,Quarterfinals,MurrayA.,AlmagroN.,1,44
2017-01-07,QatarExxonMobilOpen,ATP250,Hard,Quarterfinals,BerdychT.,TsongaJ.W.,10,12
2017-01-08,QatarExxonMobilOpen,ATP250,Hard,Semifinals,DjokovicN.,VerdascoF.,2,42
2017-01-08,QatarExxonMobilOpen,ATP250,Hard,Semifinals,MurrayA.,BerdychT.,1,10
2017-01-09,QatarExxonMobilOpen,ATP250,Hard,TheFinal,DjokovicN.,MurrayA.,2,1
2017-01-10,ASBClassic,ATP250,Hard,1stRound,JohnsonS.,RobertS.,33,53
2017-01-11,ASBClassic,ATP250,Hard,1stRound,HaaseR.,TearneyF.,58,447
2017-01-11,ASBClassic,ATP250,Hard,1stRound,VeselyJ.,ZeballosH.,54,69
2017-01-11,ASBClassic,ATP250,Hard,1stRound,JaziriM.,SchwartzmanD.,56,52
2017-01-11,ASBClassic,ATP250,Hard,1stRound,LopezF.,VenusM.,28,1035
2017-01-11,ASBClassic,ATP250,Hard,1stRound,BrownD.,MmohM.,70,195
2017-01-11,ASBClassic,ATP250,Hard,1stRound,KleinB.,BagnisF.,324,55
2017-01-11,ASBClassic,ATP250,Hard,1stRound,HarrisonR.,GarciaLopezG.,89,74
2017-01-11,ASBClassic,ATP250,Hard,1stRound,SousaJ.,RamosVinolasA.,44,26
2017-01-12,ASBClassic,ATP250,Hard,1stRound,LuY.H.,KhachanovK.,61,51
2017-01-12,ASBClassic,ATP250,Hard,1stRound,BaghdatisM.,MannarinoA.,36,60
2017-01-12,ASBClassic,ATP250,Hard,1stRound,ChardyJ.,SitakA.,71,NA
2017-01-12,ASBClassic,ATP250,Hard,2ndRound,HaaseR.,FerrerD.,58,21
2017-01-13,ASBClassic,ATP250,Hard,2ndRound,SousaJ.,KleinB.,44,324
2017-01-13,ASBClassic,ATP250,Hard,2ndRound,JohnsonS.,LuY.H.,33,61
2017-01-13,ASBClassic,ATP250,Hard,2ndRound,IsnerJ.,JaziriM.,19,56
2017-01-13,ASBClassic,ATP250,Hard,2ndRound,VeselyJ.,StathamJ.,54,434
2017-01-13,ASBClassic,ATP250,Hard,2ndRound,BaghdatisM.,BrownD.,36,70
2017-01-13,ASBClassic,ATP250,Hard,2ndRound,ChardyJ.,LopezF.,71,28
2017-01-13,ASBClassic,ATP250,Hard,2ndRound,SockJ.,HarrisonR.,23,89
2017-01-13,ASBClassic,ATP250,Hard,Quarterfinals,SousaJ.,HaaseR.,44,58
2017-01-14,ASBClassic,ATP250,Hard,Quarterfinals,JohnsonS.,IsnerJ.,33,19
2017-01-14,ASBClassic,ATP250,Hard,Quarterfinals,BaghdatisM.,VeselyJ.,36,54
2017-01-14,ASBClassic,ATP250,Hard,Quarterfinals,SockJ.,ChardyJ.,23,71
2017-01-15,ASBClassic,ATP250,Hard,Semifinals,SousaJ.,BaghdatisM.,44,36
2017-01-15,ASBClassic,ATP250,Hard,Semifinals,SockJ.,JohnsonS.,23,33
2017-01-16,ASBClassic,ATP250,Hard,TheFinal,SockJ.,SousaJ.,23,44
2017-01-10,ApiaInternational,ATP250,Hard,1stRound,MahutN.,BellucciT.,38,62
2017-01-11,ApiaInternational,ATP250,Hard,1stRound,BartonM.,EdmundK.,198,45
2017-01-11,ApiaInternational,ATP250,Hard,1stRound,EvansD.,MonteiroT.,67,83
2017-01-11,ApiaInternational,ATP250,Hard,1stRound,EliasG.,OConnellC.,81,238
2017-01-11,ApiaInternational,ATP250,Hard,1stRound,LorenziP.,MayerF.,41,49
2017-01-11,ApiaInternational,ATP250,Hard,1stRound,KohlschreiberP.,FogniniF.,32,47
2017-01-12,ApiaInternational,ATP250,Hard,1stRound,DeMinaurA.,PaireB.,333,46
2017-01-12,ApiaInternational,ATP250,Hard,1stRound,KuznetsovAn.,KlizanM.,48,35
2017-01-12,ApiaInternational,ATP250,Hard,1stRound,ZverevM.,AlmagroN.,50,43
2017-01-12,ApiaInternational,ATP250,Hard,1stRound,MullerG.,DolgopolovO.,34,63
2017-01-12,ApiaInternational,ATP250,Hard,1stRound,GranollersM.,GiraldoS.,37,90
2017-01-12,ApiaInternational,ATP250,Hard,1stRound,ThompsonJ.,BasilashviliN.,75,94
2017-01-13,ApiaInternational,ATP250,Hard,2ndRound,CuevasP.,MahutN.,22,38
2017-01-13,ApiaInternational,ATP250,Hard,2ndRound,MullerG.,BartonM.,34,198
2017-01-13,ApiaInternational,ATP250,Hard,2ndRound,CarrenoBustaP.,ZverevM.,30,50
2017-01-13,ApiaInternational,ATP250,Hard,2ndRound,KohlschreiberP.,ThompsonJ.,32,75
2017-01-13,ApiaInternational,ATP250,Hard,2ndRound,EvansD.,GranollersM.,67,37
2017-01-13,ApiaInternational,ATP250,Hard,2ndRound,TroickiV.,LorenziP.,29,41
2017-01-13,ApiaInternational,ATP250,Hard,2ndRound,KuznetsovAn.,DeMinaurA.,48,333
2017-01-13,ApiaInternational,ATP250,Hard,2ndRound,ThiemD.,EliasG.,8,81
2017-01-14,ApiaInternational,ATP250,Hard,Quarterfinals,MullerG.,CuevasP.,34,22
2017-01-14,ApiaInternational,ATP250,Hard,Quarterfinals,TroickiV.,KohlschreiberP.,29,32
2017-01-14,ApiaInternational,ATP250,Hard,Quarterfinals,KuznetsovAn.,CarrenoBustaP.,48,30
2017-01-14,ApiaInternational,ATP250,Hard,Quarterfinals,EvansD.,ThiemD.,67,8
2017-01-15,ApiaInternational,ATP250,Hard,Semifinals,MullerG.,TroickiV.,34,29
2017-01-15,ApiaInternational,ATP250,Hard,Semifinals,EvansD.,KuznetsovAn.,67,48
