ranking,player,age,points,tourn_played,year
1,Stefan Edberg,25,0,0,1991
2,Jim Courier,21,0,0,1991
3,Boris Becker,24,0,0,1991
4,Michael Stich,23,0,0,1991
5,Ivan Lendl,31,0,0,1991
6,Pete Sampras,20,0,0,1991
7,Guy Forget,26,0,0,1991
8,Karel Novacek,26,0,0,1991
9,Petr Korda,23,0,0,1991
10,Andre Agassi,21,0,0,1991
11,Sergi Bruguera,20,0,0,1991
12,Magnus Gustafsson,24,0,0,1991
13,Derrick Rostagno,26,0,0,1991
14,Emilio Sanchez,26,0,0,1991
15,Michael Chang,19,0,0,1991
16,Goran Ivanisevic,20,0,0,1991
17,David Wheaton,22,0,0,1991
18,Goran Prpic,27,0,0,1991
19,Brad Gilbert,30,0,0,1991
20,Jakob Hlasek,27,0,0,1991
21,Andrei Cherkasov,21,0,0,1991
22,Alberto Mancini,22,0,0,1991
23,Jordi Arrese,27,0,0,1991
24,Omar Camporese,23,0,0,1991
25,Alexander Volkov,24,0,0,1991
26,Jan Siemerink,21,0,0,1991
27,Richey Reneberg,26,0,0,1991
28,John McEnroe,32,0,0,1991
29,Jonas Svensson,25,0,0,1991
30,Francisco Clavet,23,0,0,1991
31,Andrei Chesnokov,25,0,0,1991
32,Javier Sanchez,23,0,0,1991
33,Horst Skoff,23,0,0,1991
34,Aaron Krickstein,24,0,0,1991
35,Thomas Muster,24,0,0,1991
36,Patrick McEnroe,25,0,0,1991
37,Paul Haarhuis,25,0,0,1991
38,Carl-Uwe Steeb,24,0,0,1991
39,Olivier Delaitre,24,0,0,1991
40,Guillermo Perez-Roldan,22,0,0,1991
41,Wayne Ferreira,20,0,0,1991
42,Cristiano Caratti,21,0,0,1991
43,Fabrice Santoro,19,0,0,1991
44,Christian Bergstrom,24,0,0,1991
45,Richard Krajicek,20,0,0,1991
46,Martin Jaite,27,0,0,1991
47,Anders Jarryd,30,0,0,1991
48,Thierry Champion,25,0,0,1991
49,Jimmy Connors,39,0,0,1991
50,MaliVai Washington,22,0,0,1991
51,Cedric Pioline,22,0,0,1991
52,Renzo Furlan,21,0,0,1991
53,Jaime Yzaga,24,0,0,1991
54,Arnaud Boetsch,22,0,0,1991
55,Carlos Costa,23,0,0,1991
56,Wally Masur,28,0,0,1991
57,Markus Zoecke,23,0,0,1991
58,Kevin Curren,33,0,0,1991
59,Frederic Fontang,21,0,0,1991
60,Marc Rosset,21,0,0,1991
61,Magnus Larsson,21,0,0,1991
62,Amos Mansdorf,26,0,0,1991
63,Jimmy Arias,27,0,0,1991
64,Jaime Oncins,21,0,0,1991
65,Stefano Pescosolido,20,0,0,1991
66,Gabriel Markus,21,0,0,1991
67,Javier Frana,25,0,0,1991
68,Christo Van Rensburg,29,0,0,1991
69,Shuzo Matsuoka,24,0,0,1991
70,Andres Gomez,31,0,0,1991
71,Mark Koevermans,23,0,0,1991
72,Bryan Shelton,26,0,0,1991
73,Jean-Philippe Fleurian,26,0,0,1991
74,Ronald Agenor,27,0,0,1991
75,Jason Stoltenberg,21,0,0,1991
76,Gianluca Pozzi,26,0,0,1991
77,Todd Woodbridge,20,0,0,1991
78,Lars Jonsson,21,0,0,1991
79,Grant Connell,26,0,0,1991
80,Nicklas Kulti,20,0,0,1991
81,German Lopez,20,0,0,1991
82,Patrick Baur,26,0,0,1991
83,Christian Miniussi,24,0,0,1991
84,Christian Saceanu,23,0,0,1991
85,Michiel Schapers,32,0,0,1991
86,Patrik Kuhnen,25,0,0,1991
87,Jim Grabb,27,0,0,1991
88,Mark Woodforde,26,0,0,1991
89,Lars Koslowski,20,0,0,1991
90,Bart Wuyts,22,0,0,1991
91,Darren Cahill,26,0,0,1991
92,Rodolphe Gilbert,23,0,0,1991
93,Roberto Azar,25,0,0,1991
94,Jan Gunnarsson,29,0,0,1991
95,Richard Fromberg,21,0,0,1991
96,Tomas Carbonell,23,0,0,1991
97,Marian Vajda,26,0,0,1991
98,Veli Paloheimo,24,0,0,1991
99,Eduardo Masso,27,0,0,1991
100,Fernando Roese,26,0,0,1991
1,Jim Courier,22,0,0,1992
2,Stefan Edberg,26,0,0,1992
3,Pete Sampras,21,0,0,1992
4,Goran Ivanisevic,21,0,0,1992
5,Boris Becker,25,0,0,1992
6,Michael Chang,20,0,0,1992
7,Petr Korda,24,0,0,1992
8,Ivan Lendl,32,0,0,1992
9,Andre Agassi,22,0,0,1992
10,Richard Krajicek,21,0,0,1992
11,Guy Forget,27,0,0,1992
12,Wayne Ferreira,21,0,0,1992
13,MaliVai Washington,23,0,0,1992
14,Carlos Costa,24,0,0,1992
15,Michael Stich,24,0,0,1992
16,Sergi Bruguera,21,0,0,1992
17,Alexander Volkov,25,0,0,1992
18,Thomas Muster,25,0,0,1992
19,Henrik Holm,24,0,0,1992
20,John McEnroe,33,0,0,1992
21,Emilio Sanchez,27,0,0,1992
22,Francisco Clavet,24,0,0,1992
23,Karel Novacek,27,0,0,1992
24,Andrei Medvedev,18,0,0,1992
25,Amos Mansdorf,27,0,0,1992
26,Brad Gilbert,31,0,0,1992
27,Arnaud Boetsch,23,0,0,1992
28,Aaron Krickstein,25,0,0,1992
29,Carl-Uwe Steeb,25,0,0,1992
30,Andrei Chesnokov,26,0,0,1992
31,Alberto Mancini,23,0,0,1992
32,Andrei Cherkasov,22,0,0,1992
33,Cedric Pioline,23,0,0,1992
34,Magnus Larsson,22,0,0,1992
35,Marc Rosset,22,0,0,1992
36,Jakob Hlasek,28,0,0,1992
37,Jordi Arrese,28,0,0,1992
38,Wally Masur,29,0,0,1992
39,Paul Haarhuis,26,0,0,1992
40,Mark Woodforde,27,0,0,1992
41,Javier Sanchez,24,0,0,1992
42,Omar Camporese,24,0,0,1992
43,Fabrice Santoro,20,0,0,1992
44,David Wheaton,23,0,0,1992
45,Jeff Tarango,24,0,0,1992
46,Franco Davin,22,0,0,1992
47,Magnus Gustafsson,25,0,0,1992
48,Jaime Oncins,22,0,0,1992
49,Jaime Yzaga,25,0,0,1992
50,Guillermo Perez-Roldan,23,0,0,1992
51,Luiz Mattar,29,0,0,1992
52,Bernd Karbacher,24,0,0,1992
53,Renzo Furlan,22,0,0,1992
54,Todd Woodbridge,21,0,0,1992
55,Jim Grabb,28,0,0,1992
56,Gabriel Markus,22,0,0,1992
57,Jan Siemerink,22,0,0,1992
58,Christian Bergstrom,25,0,0,1992
59,Luis Herrera,21,0,0,1992
60,Marcelo Filippini,25,0,0,1992
61,Henri Leconte,29,0,0,1992
62,Stefano Pescosolido,21,0,0,1992
63,Thomas Enqvist,18,0,0,1992
64,Shuzo Matsuoka,25,0,0,1992
65,Tomas Carbonell,24,0,0,1992
66,Goran Prpic,28,0,0,1992
67,Marcos Ondruska,20,0,0,1992
68,Gianluca Pozzi,27,0,0,1992
69,Kenneth Carlsen,19,0,0,1992
70,Rodolphe Gilbert,24,0,0,1992
71,Sandon Stolle,22,0,0,1992
72,Francisco Roig,24,0,0,1992
73,Brett Steven,23,0,0,1992
74,Bart Wuyts,23,0,0,1992
75,Derrick Rostagno,27,0,0,1992
76,Olivier Delaitre,25,0,0,1992
77,Markus Naewie,22,0,0,1992
78,Jacco Eltingh,22,0,0,1992
79,Nicklas Kulti,21,0,0,1992
80,Andrei Olhovskiy,26,0,0,1992
81,Jonas Svensson,26,0,0,1992
82,Gilbert Schaller,23,0,0,1992
