player,percentage_service,games_won_service,games_total_service,matches,year,surface
Pete Sampras,87.39%,721,825,71,1991,All
Michael Stich,87.26%,925,"1,060",99,1991,All
Guy Forget,86.15%,784,910,84,1991,All
Stefan Edberg,85.36%,892,"1,045",93,1991,All
Jim Courier,84.53%,754,892,78,1991,All
Ivan Lendl,84.48%,773,915,73,1991,All
Boris Becker,84.34%,668,792,62,1991,All
Richard Krajicek,84.07%,496,590,46,1991,All
Goran Ivanisevic,83.81%,559,667,64,1991,All
Jakob Hlasek,83.17%,697,838,77,1991,All
MaliVai Washington,82.72%,541,654,55,1991,All
Shuzo Matsuoka,82.39%,393,477,44,1991,All
Jan Siemerink,82.17%,553,673,51,1991,All
Emilio Sanchez,82.09%,559,681,68,1991,All
John McEnroe,81.56%,460,564,51,1991,All
David Wheaton,81.54%,486,596,52,1991,All
Karel Novacek,80.34%,801,997,88,1991,All
Derrick Rostagno,79.89%,588,736,63,1991,All
Wally Masur,79.85%,523,655,54,1991,All
Andre Agassi,79.72%,519,651,56,1991,All
Omar Camporese,78.83%,592,751,65,1991,All
Brad Gilbert,78.39%,515,657,61,1991,All
Anders Jarryd,77.19%,379,491,47,1991,All
Marc Rosset,76.69%,398,519,53,1991,All
Aaron Krickstein,76.51%,456,596,52,1991,All
Javier Sanchez,76.18%,579,760,64,1991,All
Alexander Volkov,75.78%,676,892,76,1991,All
Patrik Kuhnen,75.77%,419,553,45,1991,All
Michael Chang,75.52%,549,727,67,1991,All
Petr Korda,75.26%,578,768,69,1991,All
Sergi Bruguera,75.22%,607,807,73,1991,All
Wayne Ferreira,75.05%,400,533,47,1991,All
Richey Reneberg,75.00%,456,608,49,1991,All
Paul Haarhuis,74.60%,417,559,54,1991,All
Patrick McEnroe,74.57%,434,582,50,1991,All
Martin Jaite,74.45%,373,501,48,1991,All
Andrei Cherkasov,74.44%,594,798,73,1991,All
Amos Mansdorf,74.44%,402,540,50,1991,All
Magnus Gustafsson,74.40%,555,746,69,1991,All
Francisco Clavet,74.13%,513,692,64,1991,All
Carl-Uwe Steeb,74.13%,470,634,57,1991,All
Goran Prpic,73.61%,558,758,70,1991,All
Horst Skoff,73.58%,507,689,64,1991,All
Jonas Svensson,73.56%,395,537,45,1991,All
Todd Woodbridge,72.76%,390,536,48,1991,All
Jaime Oncins,72.60%,318,438,44,1991,All
Luiz Mattar,72.53%,338,466,46,1991,All
Nicklas Kulti,72.51%,335,462,44,1991,All
Christian Bergstrom,72.16%,425,589,53,1991,All
Jean-Philippe Fleurian,72.12%,401,556,48,1991,All
Thomas Muster,71.95%,372,517,49,1991,All
Thierry Champion,70.75%,445,629,53,1991,All
Cristiano Caratti,69.70%,398,571,44,1991,All
Jordi Arrese,69.37%,453,653,58,1991,All
Andrei Chesnokov,69.20%,382,552,51,1991,All
Mark Koevermans,68.78%,304,442,45,1991,All
Fabrice Santoro,68.10%,348,511,51,1991,All
Renzo Furlan,64.63%,338,523,48,1991,All
Marian Vajda,62.37%,310,497,44,1991,All
Goran Ivanisevic,88.78%,807,909,80,1992,All
Richard Krajicek,86.85%,779,897,72,1992,All
Jim Courier,86.81%,882,"1,016",87,1992,All
Michael Stich,86.05%,629,731,68,1992,All
Pete Sampras,85.62%,869,"1,015",91,1992,All
Guy Forget,85.33%,721,845,70,1992,All
Stefan Edberg,85.04%,932,"1,096",92,1992,All
Boris Becker,85.01%,692,814,67,1992,All
