player,percentage_service,games_won_service,games_total_service,matches,surface,percentage_return,games_won_return,games_total_return
Roger Federer,88.77,"15,851","17,856","1,391",All,26.70,"4,662","17,461"
Pete Sampras,88.75,"9,266","10,441",792,All,24.05,"2,460","10,227"
Richard Krajicek,87.23,"6,770","7,761",606,All,21.17,"1,634","7,717"
Boris Becker,85.82,"4,697","5,473",418,All,23.63,"1,293","5,471"
Novak Djokovic,85.66,"10,508","12,267",983,All,32.12,"3,832","11,932"
Rafael Nadal,85.60,"11,060","12,921","1,091",All,33.43,"4,291","12,837"
Michael Stich,85.26,"4,575","5,366",417,All,23.53,"1,253","5,324"
Juan Martin del Potro,84.84,"5,977","7,045",583,All,25.62,"1,807","7,053"
Patrick Rafter,84.66,"5,532","6,534",513,All,22.52,"1,449","6,433"
Tomas Berdych,84.46,"9,646","11,421",928,All,24.05,"2,702","11,237"
Jim Courier,84.10,"5,818","6,918",546,All,26.20,"1,780","6,793"
Andre Agassi,84.04,"8,771","10,437",851,All,31.69,"3,309","10,441"
Marin Cilic,83.95,"7,453","8,878",695,All,23.10,"2,026","8,771"
Robin Soderling,83.90,"4,785","5,703",463,All,24.12,"1,350","5,597"
Mario Ancic,83.82,"3,388","4,042",318,All,22.14,883,"3,989"
Todd Martin,83.57,"6,565","7,856",593,All,22.37,"1,745","7,801"
Grigor Dimitrov,82.96,"4,859","5,857",459,All,21.18,"1,219","5,755"
Fernando Gonzalez,82.88,"5,747","6,934",539,All,22.30,"1,548","6,942"
Stan Wawrinka,82.57,"8,073","9,777",738,All,22.92,"2,204","9,616"
Stefan Edberg,82.56,"4,501","5,452",439,All,30.31,"1,655","5,460"
Nicolas Almagro,82.51,"6,777","8,214",662,All,21.92,"1,791","8,170"
Dominic Thiem,82.51,"3,591","4,352",350,All,23.22,"1,015","4,371"
Gustavo Kuerten,82.46,"5,312","6,442",511,All,24.26,"1,568","6,462"
Ivan Lendl,82.44,"2,493","3,024",246,All,28.28,857,"3,030"
Mardy Fish,82.31,"5,123","6,224",501,All,21.55,"1,331","6,175"
Richard Gasquet,82.21,"7,983","9,711",800,All,25.15,"2,400","9,542"
Marat Safin,82.16,"7,037","8,565",649,All,22.37,"1,916","8,566"
Andy Murray,81.92,"8,409","10,265",821,All,31.84,"3,238","10,169"
Philipp Kohlschreiber,81.74,"7,652","9,361",775,All,22.33,"2,110","9,448"
Magnus Larsson,81.72,"4,816","5,893",466,All,21.53,"1,270","5,899"
Alexander Zverev,81.72,"2,736","3,348",265,All,24.33,814,"3,345"
Tommy Haas,81.63,"8,841","10,830",867,All,23.45,"2,495","10,638"
Tim Henman,81.22,"7,492","9,224",720,All,25.77,"2,348","9,113"
Jan-Michael Gambill,81.17,"3,844","4,736",389,All,20.61,961,"4,662"
Radek Stepanek,80.86,"6,544","8,093",658,All,22.68,"1,844","8,130"
Javier Frana,80.80,"2,218","2,745",217,All,22.14,612,"2,764"
Gael Monfils,80.69,"6,992","8,665",693,All,25.19,"2,187","8,681"
Thomas Johansson,80.60,"6,183","7,671",618,All,22.16,"1,713","7,729"
Fernando Verdasco,80.55,"9,218","11,444",909,All,24.08,"2,763","11,473"
Kei Nishikori,80.55,"5,271","6,544",545,All,27.13,"1,784","6,576"
Janko Tipsarevic,80.28,"4,768","5,939",482,All,21.20,"1,262","5,953"
Lleyton Hewitt,80.22,"8,390","10,459",819,All,29.95,"3,153","10,526"
MaliVai Washington,80.22,"3,639","4,536",375,All,25.67,"1,161","4,522"
Roberto Bautista Agut,79.99,"3,918","4,898",397,All,26.34,"1,264","4,798"
Marcos Baghdatis,79.92,"5,949","7,444",595,All,22.74,"1,697","7,461"
Carlos Moya,79.76,"8,495","10,651",856,All,25.32,"2,704","10,679"
Thomas Enqvist,79.72,"6,912","8,670",705,All,26.27,"2,233","8,501"
Wayne Ferreira,79.70,"7,876","9,882",774,All,24.47,"2,422","9,899"
Juan Carlos Ferrero,79.69,"7,055","8,853",709,All,26.64,"2,371","8,901"
James Blake,79.69,"5,874","7,371",591,All,24.93,"1,820","7,299"
Taylor Dent,79.59,"2,745","3,449",283,All,21.69,739,"3,407"
Thomas Muster,79.52,"5,575","7,011",595,All,31.66,"2,235","7,059"
